"","Player","Rk","Pk","Tm","College","Yrs","G","MP","PTS","TRB","AST","FG_percent","X3P_percent","FT_percent","MP_PG","PTS_PG","TRB_PG","AST_PG","WS","WS_48","BPM","VORP","Year","Rank","COL_G_PG","COL_GS_PG","COL_MP_PG","COL_FG_PG","COL_FGA_PG","COL_FG%_PG","COL_2P_PG","COL_2PA_PG","COL_2P%_PG","COL_3P_PG","COL_3PA_PG","COL_3P%_PG","COL_FT_PG","COL_FTA_PG","COL_FT%_PG","COL_ORB_PG","COL_DRB_PG","COL_TRB_PG","COL_AST_PG","COL_STL_PG","COL_BLK_PG","COL_TOV_PG","COL_PF_PG","COL_PTS_PG","COL_SOS_PG","COL_Years"
"87","Ziaire Williams",10,"10","NOP","Stanford","3","150","2945","1131","388","175",".426",".301",".803","19.6","7.5","2.6","1.2","2.6",".042","-4.0","-1.5",2021,7,20,14,27.9,3.8,10.2,0.374,2.7,6.2,0.427,1.2,4,0.291,2,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,10.01,1
"88","James Bouknight",11,"11","CHO","UConn","3","79","900","383","133","73",".363",".335",".762","11.4","4.8","1.7","0.9","-0.3","-.017","-5.9","-0.9",2021,8,43,30,27.9,5.3,11.5,0.456,4.2,8.1,0.513,1.1,3.4,0.32,3.4,4.2,0.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15,6.97,2
"89","Joshua Primo",12,"12","SAS","Alabama","3","56","1068","318","127","99",".371",".300",".750","19.1","5.7","2.3","1.8","-0.3","-.011","-5.3","-0.9",2021,9,30,19,22.5,2.8,6.5,0.431,1.4,2.7,0.5,1.4,3.8,0.381,1.1,1.5,0.75,1,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,10.01,1
"90","Chris Duarte",13,"13","IND","Oregon","3","160","3157","1312","447","222",".405",".347",".816","19.7","8.2","2.8","1.4","1.6",".024","-3.1","-0.9",2021,10,54,54,32,5.3,11.2,0.473,3.3,5.9,0.555,2,5.3,0.38,2.3,2.9,0.803,1.1,4,5.1,2.1,1.8,0.7,1.9,1.5,14.9,9.37,2
"91","Paolo Banchero",1,"1","ORL","Duke","2","152","5229","3241","1051","700",".442",".321",".731","34.4","21.3","6.9","4.6","7.6",".070","0.0","2.7",2022,1,39,39,33,6.3,13.2,0.478,5.2,9.8,0.525,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,7.26,1
"92","Chet Holmgren",2,"2","OKC","Gonzaga","1","82","2413","1357","648","200",".530",".370",".793","29.4","16.5","7.9","2.4","8.9",".178","3.4","3.3",2022,2,32,31,26.9,5.3,8.8,0.607,4,5.5,0.737,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,4.5,1
"93","Jabari Smith Jr.",3,"3","HOU","Auburn","2","155","4875","2054","1185","222",".430",".335",".798","31.5","13.3","7.6","1.4","7.5",".074","-2.0","0.0",2022,3,34,34,28.8,5.4,12.6,0.429,3.1,7,0.435,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2,1.1,1,1.9,2.1,16.9,8.17,1
"94","Keegan Murray",4,"4","SAC","Iowa","2","157","4970","2148","791","227",".454",".384",".805","31.7","13.7","5.0","1.4","9.5",".092","-0.7","1.6",2022,4,66,39,25.4,5.9,10.9,0.543,4.7,7.6,0.618,1.2,3.3,0.373,2.8,3.7,0.749,2.3,4.7,7,1,1.1,1.6,0.9,1.9,15.8,8.65,2
"95","Jaden Ivey",5,"5","DET","Purdue","2","151","4521","2389","552","683",".422",".339",".748","29.9","15.8","3.7","4.5","0.4",".004","-3.2","-1.4",2022,5,59,46,28.6,4.9,11.3,0.44,3.4,6.6,0.523,1.5,4.7,0.322,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,9.73,2
"96","Bennedict Mathurin",6,"6","IND","Arizona","2","137","3760","2158","552","235",".439",".344",".826","27.4","15.8","4.0","1.7","3.2",".041","-3.6","-1.5",2022,6,59,46,28.6,4.9,11.3,0.44,3.4,6.6,0.523,1.5,4.7,0.322,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,9.73,2
"97","Shaedon Sharpe",7,"7","POR","Kentucky","2","112","2838","1299","396","188",".445",".350",".772","25.3","11.6","3.5","1.7","1.7",".028","-3.1","-0.8",2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Jeremy Sochan",9,"9","SAS","Baylor","2","130","3651","1475","771","391",".444",".285",".738","28.1","11.3","5.9","3.0","1.5",".020","-3.6","-1.5",2022,8,30,1,25.1,3.3,7,0.474,2.5,4.3,0.585,0.8,2.7,0.296,1.8,3,0.589,2,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,8.76,1
"99","Johnny Davis",10,"10","WAS","Wisconsin","2","78","1036","315","137","60",".394",".282",".549","13.3","4.0","1.8","0.8","-0.4","-.019","-6.9","-1.3",2022,9,62,31,29.2,4.8,11.1,0.431,4,8.5,0.462,0.8,2.5,0.325,3,3.9,0.779,1.2,5,6.2,1.6,1.1,0.7,1.7,2.1,13.4,10.54,2
"100","Jalen Williams",12,"12","OKC","Santa Clara","2","146","4499","2411","619","570",".532",".395",".813","30.8","16.5","4.2","3.9","12.9",".138","1.3","3.8",2022,10,84,72,30.5,4.5,9.5,0.469,3.4,6.5,0.525,1.1,3,0.352,2.6,3.3,0.785,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6,2.14,3
"101","Brandon Miller",2,"2","CHO","Alabama","1","74","2383","1279","315","175",".440",".373",".827","32.2","17.3","4.3","2.4","0.8",".015","-2.6","-0.3",2023,1,37,37,32.6,6,13.9,0.43,3.1,6.5,0.483,2.9,7.5,0.384,3.9,4.6,0.859,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8,9.65,1
"102","Anthony Black",6,"6","ORL","Arkansas","1","69","1164","316","139","91",".466",".394",".613","16.9","4.6","2.0","1.3","1.6",".067","-3.0","-0.3",2023,2,36,36,34.9,4.1,9.1,0.453,3.4,6.6,0.513,0.8,2.6,0.301,3.7,5.3,0.705,1.3,3.8,5.1,3.9,2.1,0.6,3,2.6,12.8,9.87,1
"103","Jarace Walker",8,"8","WAS","Houston","1","33","340","120","63","40",".409",".400",".889","10.3","3.6","1.9","1.2","0.4",".058","0.2","0.2",2023,3,36,35,27.6,4.4,9.4,0.465,3.4,6.6,0.515,1,2.8,0.347,1.5,2.2,0.663,2.3,4.5,6.8,1.8,1,1.3,1.5,2.1,11.2,4.79,1
"104","Taylor Hendricks",9,"9","UTA","Central Florida","1","40","856","292","185","32",".450",".379",".793","21.4","7.3","4.6","0.8","1.2",".070","-1.6","0.1",2023,4,34,34,34.7,5.4,11.3,0.478,3.6,6.8,0.535,1.8,4.6,0.394,2.5,3.2,0.782,2.4,4.6,7,1.4,0.9,1.7,1.4,2,15.1,5.09,1
"105","Cason Wallace",10,"10","DAL","Kentucky","1","82","1692","561","187","120",".491",".419",".784","20.6","6.8","2.3","1.5","4.0",".115","0.1","0.9",2023,5,34,34,34.7,5.4,11.3,0.478,3.6,6.8,0.535,1.8,4.6,0.394,2.5,3.2,0.782,2.4,4.6,7,1.4,0.9,1.7,1.4,2,15.1,5.09,1
"106","Jett Howard",11,"11","ORL","Michigan","1","18","67","29","7","6",".333",".280",".500","3.7","1.6","0.4","0.3","0.0",".005","-1.8","0.0",2023,6,29,29,31.8,4.7,11.4,0.414,2,4.1,0.496,2.7,7.3,0.368,2.1,2.6,0.8,0.3,2.6,2.8,2,0.4,0.7,1.3,2.2,14.2,8.69,1
"107","Dereck Lively II",12,"12","OKC","Duke","1","55","1294","483","378","60",".747",".000",".506","23.5","8.8","6.9","1.1","4.9",".183","0.5","0.8",2023,7,34,27,20.6,2.3,3.4,0.658,2.2,3.1,0.721,0.1,0.4,0.154,0.6,1,0.6,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,7.44,1
"108","Gradey Dick",13,"13","TOR","Kansas","1","60","1268","510","132","68",".425",".365",".863","21.1","8.5","2.2","1.1","0.3",".010","-5.4","-1.1",2023,8,36,36,32.7,4.8,10.9,0.442,2.5,5.2,0.484,2.3,5.7,0.403,2.1,2.5,0.854,1.1,4,5.1,1.7,1.4,0.3,1.3,2.1,14.1,11.84,1
"109","Jordan Hawkins",14,"14","NOP","UConn","1","67","1160","524","148","70",".382",".366",".838","17.3","7.8","2.2","1.0","1.3",".053","-3.1","-0.3",2023,9,64,41,23.2,3.6,9.1,0.396,1.5,3.5,0.428,2.1,5.7,0.376,2.5,2.8,0.872,0.8,2.3,3,1,0.5,0.4,1.2,1.7,11.8,7.7,2
"110","Kobe Bufkin",15,"15","ATL","Michigan","1","17","196","81","33","27",".370",".225",".500","11.5","4.8","1.9","1.6","-0.1","-.031","-4.5","-0.1",2023,10,61,33,23.3,3.3,7.2,0.463,2.5,4.6,0.541,0.8,2.6,0.325,1.5,1.8,0.833,0.6,2.4,3,1.7,0.9,0.4,1.3,1.7,9,9.86,2
